vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,total_amount,payment_type,distance_between_service,time_between_service,trip_type,imp_surcharge
1,2015-05-11 15:56:57.000000 UTC,2015-05-11 15:56:58.000000 UTC,N,1,-74.008354187011719,40.7298583984375,-74.008346557617188,40.729885101318359,1,4.0,21.0,0.0,0.5,4.35,0.0,,26.15,1,,,1,0.3
2,2015-03-01 03:26:43.000000 UTC,2015-03-01 03:28:12.000000 UTC,N,1,-74.003913879394531,40.721828460693359,-74.000785827636719,40.720966339111328,1,0.16,3.0,0.5,0.5,0.0,0.0,,4.3,2,,,1,0.3
1,2015-04-16 22:03:38.000000 UTC,2015-04-16 22:03:41.000000 UTC,N,1,-73.988021850585938,40.743698120117188,-73.987960815429688,40.743675231933594,1,4.3,16.5,0.5,0.5,0.0,0.0,,17.8,4,,,1,0.3
1,2015-10-23 23:55:45.000000 UTC,2015-10-23 23:56:33.000000 UTC,N,1,-73.9736099243164,40.760124206542969,-73.972084045410156,40.762874603271484,1,0.2,3.0,0.5,0.5,0.0,0.0,,4.3,2,,,1,0.3
2,2015-02-06 21:40:05.000000 UTC,2015-02-06 21:48:28.000000 UTC,N,1,-73.99847412109375,40.720706939697266,-74.002403259277344,40.728080749511719,1,1.01,7.0,0.5,0.5,0.0,0.0,,8.3,2,,,1,0.3
2,2015-04-12 03:43:10.000000 UTC,2015-04-12 03:58:26.000000 UTC,N,1,-73.9992904663086,40.721641540527344,-74.003379821777344,40.751480102539062,1,3.04,11.5,0.5,0.5,0.0,0.0,,12.8,1,,,1,0.3
2,2015-06-06 21:41:34.000000 UTC,2015-06-06 21:58:43.000000 UTC,N,1,-73.98797607421875,40.762813568115234,-73.977188110351562,40.743022918701172,1,2.05,12.0,0.5,0.5,0.0,0.0,,13.3,2,,,1,0.3
1,2015-06-03 15:47:11.000000 UTC,2015-06-03 15:47:18.000000 UTC,N,1,-74.006782531738281,40.723194122314453,-74.006500244140625,40.722461700439453,1,8.4,2.5,0.0,0.5,0.0,0.0,,3.3,3,,,1,0.3
2,2015-02-06 19:08:47.000000 UTC,2015-02-06 19:13:48.000000 UTC,N,1,-73.992919921875,40.767318725585938,-73.988906860351562,40.773513793945312,2,0.7,5.5,1.0,0.5,0.0,0.0,,7.3,2,,,1,0.3
2,2015-11-26 03:46:28.000000 UTC,2015-11-26 03:46:52.000000 UTC,N,1,-73.967330932617188,40.756401062011719,-73.968269348144531,40.7553825378418,1,5.5,16.0,0.5,0.5,3.46,0.0,,20.76,1,,,1,0.3
1,2015-05-10 15:20:11.000000 UTC,2015-05-10 15:20:12.000000 UTC,N,1,-73.991775512695312,40.751461029052734,-73.991790771484375,40.751468658447266,2,6.3,26.5,0.0,0.5,8.15,0.0,,35.45,1,,,1,0.3
2,2015-02-28 23:00:40.000000 UTC,2015-02-28 23:07:07.000000 UTC,N,1,-74.006637573242188,40.743984222412109,-73.9936294555664,40.7415657043457,1,0.86,6.0,0.5,0.5,1.0,0.0,,8.3,1,,,1,0.3
1,2015-05-27 19:53:36.000000 UTC,2015-05-27 19:53:40.000000 UTC,N,1,-73.991439819335938,40.719505310058594,-73.991317749023438,40.719463348388672,1,8.6,28.5,1.0,0.5,0.0,0.0,,30.3,4,,,1,0.3
1,2015-02-19 09:00:22.000000 UTC,2015-02-19 09:17:29.000000 UTC,N,1,-73.9796142578125,40.735305786132812,-73.971305847167969,40.758750915527344,1,2.0,12.5,0.0,0.5,1.5,0.0,,14.8,1,,,1,0.3
2,2015-03-22 01:53:21.000000 UTC,2015-03-22 02:04:52.000000 UTC,N,1,-73.986068725585938,40.722263336181641,-73.968704223632812,40.753990173339844,1,2.63,11.0,0.5,0.5,2.46,0.0,,14.76,1,,,1,0.3
2,2015-04-09 19:17:59.000000 UTC,2015-04-09 19:39:17.000000 UTC,N,1,-73.985359191894531,40.752754211425781,-73.982994079589844,40.771697998046875,1,1.88,10.0,1.0,0.5,0.0,0.0,,11.8,2,,,1,0.3
1,2015-01-15 16:03:55.000000 UTC,2015-01-15 16:03:58.000000 UTC,N,1,-74.003173828125,40.7563591003418,-74.003105163574219,40.756320953369141,1,5.4,21.0,0.0,0.5,0.0,0.0,,21.8,1,,,1,0.3
2,2015-02-05 17:33:41.000000 UTC,2015-02-05 17:45:23.000000 UTC,N,1,-73.983657836914062,40.72930908203125,-73.99029541015625,40.719486236572266,1,1.56,9.0,1.0,0.5,2.16,0.0,,12.96,1,,,1,0.3
1,2015-07-29 02:13:05.000000 UTC,2015-07-29 02:13:08.000000 UTC,N,1,-73.979843139648438,40.725982666015625,-73.979843139648438,40.725978851318359,1,9.2,28.5,0.5,0.5,0.0,0.0,,29.8,2,,,1,0.3
1,2015-09-19 18:58:28.000000 UTC,2015-09-19 18:58:31.000000 UTC,N,1,-74.006759643554688,40.753627777099609,-74.00677490234375,40.753643035888672,1,7.7,30.0,0.0,0.5,0.0,0.0,,30.8,3,,,1,0.3
2,2015-11-01 18:37:15.000000 UTC,2015-11-01 18:37:24.000000 UTC,N,1,-73.981040954589844,40.7535285949707,-73.981048583984375,40.753532409667969,1,11.92,39.5,0.0,0.5,0.0,0.0,,40.3,2,,,1,0.3
2,2015-08-22 17:43:15.000000 UTC,2015-08-22 17:43:18.000000 UTC,N,1,-73.9892807006836,40.719047546386719,-73.989288330078125,40.719051361083984,1,2.24,8.0,0.0,0.5,1.76,0.0,,10.56,1,,,1,0.3
1,2015-03-21 19:57:52.000000 UTC,2015-03-21 19:57:58.000000 UTC,N,1,-73.985557556152344,40.756301879882812,-73.985549926757812,40.756332397460938,1,5.0,20.0,0.0,0.5,0.0,0.0,,20.8,2,,,1,0.3
2,2015-03-27 01:13:46.000000 UTC,2015-03-27 01:14:04.000000 UTC,N,1,-73.973861694335938,40.742576599121094,-73.9739761352539,40.742698669433594,1,6.02,25.5,0.5,0.5,0.0,0.0,,26.8,1,,,1,0.3
1,2015-09-19 19:47:00.000000 UTC,2015-09-19 19:47:02.000000 UTC,N,1,-73.993949890136719,40.720535278320312,-73.9939193725586,40.7205924987793,1,4.1,18.5,0.0,0.5,4.0,0.0,,23.3,1,,,1,0.3
2,2015-08-09 07:25:49.000000 UTC,2015-08-09 07:26:51.000000 UTC,N,1,-73.988723754882812,40.758865356445312,-73.988655090332031,40.75933837890625,1,6.93,20.0,0.0,0.5,0.0,0.0,,20.8,2,,,1,0.3
2,2015-04-05 03:34:15.000000 UTC,2015-04-05 03:54:58.000000 UTC,N,1,-73.988784790039062,40.729038238525391,-73.991523742675781,40.767982482910156,1,4.46,17.0,0.5,0.5,3.66,0.0,,21.96,1,,,1,0.3
2,2015-05-08 01:08:36.000000 UTC,2015-05-08 01:13:35.000000 UTC,N,1,-73.988937377929688,40.746341705322266,-73.992828369140625,40.752456665039062,1,0.66,5.0,0.5,0.5,0.0,0.0,,6.3,2,,,1,0.3
2,2015-03-09 23:30:03.000000 UTC,2015-03-09 23:30:09.000000 UTC,N,1,-73.987297058105469,40.727703094482422,-73.9873046875,40.727687835693359,1,4.52,15.5,0.5,0.5,3.36,0.0,,20.16,1,,,1,0.3
