vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-05-01 03:54:31.000000 UTC,2016-05-01 03:56:57.000000 UTC,1,0.5,-73.975143432617188,40.7557258605957,1,N,-73.980278015136719,40.748336791992188,1,4.0,0.5,0.5,1.05,0.0,0.3,6.35
2,2016-05-01 03:54:27.000000 UTC,2016-05-01 03:59:44.000000 UTC,1,1.5,-73.9861068725586,40.7518196105957,1,N,-73.992630004882812,40.735401153564453,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36
1,2016-05-01 03:54:26.000000 UTC,2016-05-01 03:58:46.000000 UTC,2,0.8,-73.985580444335938,40.755355834960938,1,N,-73.971870422363281,40.749706268310547,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,2016-05-01 03:54:23.000000 UTC,2016-05-01 03:59:20.000000 UTC,1,1.1,-74.000007629394531,40.738834381103516,1,N,-73.988761901855469,40.748390197753906,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2016-05-01 03:54:20.000000 UTC,2016-05-01 03:56:55.000000 UTC,1,0.67,-73.98992919921875,40.756793975830078,1,N,-73.9835205078125,40.765811920166016,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,2016-05-01 03:54:18.000000 UTC,2016-05-01 03:58:34.000000 UTC,1,1.27,-74.003974914550781,40.751678466796875,1,N,-73.990119934082031,40.762371063232422,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8
1,2016-05-01 03:54:18.000000 UTC,2016-05-01 03:57:38.000000 UTC,1,0.5,-73.986557006835938,40.747367858886719,1,N,-73.981193542480469,40.742172241210938,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95
2,2016-05-01 03:54:17.000000 UTC,2016-05-01 03:57:21.000000 UTC,2,0.67,-74.002853393554688,40.747104644775391,1,N,-73.992477416992188,40.742725372314453,1,4.5,0.5,0.5,1.74,0.0,0.3,7.54
2,2016-05-01 03:54:13.000000 UTC,2016-05-01 03:59:23.000000 UTC,1,0.79,-73.9884262084961,40.729698181152344,1,N,-73.9938735961914,40.72076416015625,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2016-05-01 03:54:13.000000 UTC,2016-05-01 03:58:38.000000 UTC,2,0.71,-74.004150390625,40.751800537109375,1,N,-73.9939193725586,40.751338958740234,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
2,2016-05-01 03:54:11.000000 UTC,2016-05-01 03:58:53.000000 UTC,1,1.36,-73.985488891601562,40.762748718261719,1,N,-73.991256713867188,40.751121520996094,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
1,2016-05-01 03:54:11.000000 UTC,2016-05-01 03:58:07.000000 UTC,1,0.7,-73.985542297363281,40.752658843994141,1,N,-73.996002197265625,40.758991241455078,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55
2,2016-05-01 03:54:11.000000 UTC,2016-05-01 03:59:12.000000 UTC,6,1.78,-74.003204345703125,40.751468658447266,1,N,-73.9848403930664,40.768482208251953,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3
2,2016-05-01 03:54:06.000000 UTC,2016-05-01 03:57:24.000000 UTC,2,0.59,-73.999351501464844,40.754360198974609,1,N,-73.994476318359375,40.761768341064453,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96
2,2016-05-01 03:54:04.000000 UTC,2016-05-01 03:58:47.000000 UTC,1,0.99,-73.98529052734375,40.723541259765625,1,N,-73.986198425292969,40.732913970947266,1,5.5,0.5,0.5,0.5,0.0,0.3,7.3
2,2016-05-01 03:54:03.000000 UTC,2016-05-01 03:59:21.000000 UTC,1,1.22,-73.990119934082031,40.72564697265625,1,N,-73.989181518554688,40.739795684814453,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76
2,2016-05-01 03:54:02.000000 UTC,2016-05-01 03:56:28.000000 UTC,2,0.54,-73.991691589355469,40.754608154296875,1,N,-73.9888687133789,40.761028289794922,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36
2,2016-05-01 03:54:00.000000 UTC,2016-05-01 03:56:42.000000 UTC,5,0.5,-73.988815307617188,40.7593879699707,1,N,-73.996490478515625,40.763206481933594,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
2,2016-05-01 03:54:00.000000 UTC,2016-05-01 03:59:50.000000 UTC,1,1.2,-73.992507934570312,40.740291595458984,1,N,-73.982353210449219,40.749870300292969,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8
2,2016-05-01 03:53:59.000000 UTC,2016-05-01 03:57:41.000000 UTC,2,0.29,-73.990478515625,40.760837554931641,1,N,-73.985954284667969,40.758773803710938,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
1,2016-05-01 03:53:59.000000 UTC,2016-05-01 03:58:31.000000 UTC,1,0.9,-73.993484497070312,40.741489410400391,1,N,-73.981109619140625,40.742080688476562,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15
